Number of entities: 1145
Valid tirp: 
event: ['140', '62'], temporal relation: =
event: ['140', '65'], temporal relation: =
event: ['140', '69'], temporal relation: =
event: ['140', '71'], temporal relation: =
event: ['140', '74'], temporal relation: =
event: ['140', '8'], temporal relation: =
event: ['140', '80'], temporal relation: =
event: ['140', '83'], temporal relation: =
event: ['140', '85'], temporal relation: =
event: ['140', '89'], temporal relation: =
event: ['140', '92'], temporal relation: =
event: ['140', '95'], temporal relation: =
event: ['140', '98'], temporal relation: =
event: ['143', '17'], temporal relation: =
event: ['143', '2'], temporal relation: =
event: ['143', '20'], temporal relation: =
event: ['143', '23'], temporal relation: =
event: ['143', '26'], temporal relation: =
event: ['143', '29'], temporal relation: =
event: ['143', '31'], temporal relation: =
event: ['143', '35'], temporal relation: =
event: ['143', '38'], temporal relation: =
event: ['143', '42'], temporal relation: =
event: ['143', '44'], temporal relation: =
event: ['143', '47'], temporal relation: =
event: ['143', '5'], temporal relation: =
event: ['143', '50'], temporal relation: =
event: ['143', '53'], temporal relation: =
event: ['143', '56'], temporal relation: =
event: ['143', '62'], temporal relation: =
event: ['143', '65'], temporal relation: =
event: ['143', '69'], temporal relation: =
event: ['143', '71'], temporal relation: =
event: ['143', '74'], temporal relation: =
event: ['143', '8'], temporal relation: =
event: ['143', '80'], temporal relation: =
event: ['143', '83'], temporal relation: =
event: ['143', '85'], temporal relation: =
event: ['143', '89'], temporal relation: =
event: ['143', '92'], temporal relation: =
event: ['143', '95'], temporal relation: =
event: ['143', '98'], temporal relation: =
event: ['17', '2'], temporal relation: =
event: ['17', '20'], temporal relation: =
event: ['17', '23'], temporal relation: =
event: ['17', '26'], temporal relation: =
event: ['17', '29'], temporal relation: =
event: ['17', '31'], temporal relation: =
event: ['17', '35'], temporal relation: =
event: ['17', '38'], temporal relation: =
event: ['17', '42'], temporal relation: =
event: ['17', '44'], temporal relation: =
event: ['17', '47'], temporal relation: =
event: ['17', '5'], temporal relation: =
event: ['17', '50'], temporal relation: =
event: ['17', '53'], temporal relation: =
event: ['17', '56'], temporal relation: =
event: ['17', '62'], temporal relation: =
event: ['17', '65'], temporal relation: =
event: ['17', '69'], temporal relation: =
event: ['17', '71'], temporal relation: =
event: ['17', '74'], temporal relation: =
event: ['17', '8'], temporal relation: =
event: ['17', '80'], temporal relation: =
event: ['17', '83'], temporal relation: =
event: ['17', '85'], temporal relation: =
event: ['17', '89'], temporal relation: =
event: ['17', '92'], temporal relation: =
event: ['17', '95'], temporal relation: =
event: ['17', '98'], temporal relation: =
event: ['2', '20'], temporal relation: =
event: ['2', '23'], temporal relation: =
event: ['2', '26'], temporal relation: =
event: ['2', '29'], temporal relation: =
event: ['2', '31'], temporal relation: =
event: ['2', '35'], temporal relation: =
event: ['2', '38'], temporal relation: =
event: ['2', '42'], temporal relation: =
event: ['2', '44'], temporal relation: =
event: ['2', '47'], temporal relation: =
event: ['2', '50'], temporal relation: =
event: ['2', '53'], temporal relation: =
event: ['2', '56'], temporal relation: =
event: ['2', '62'], temporal relation: =
event: ['2', '65'], temporal relation: =
event: ['2', '69'], temporal relation: =
event: ['2', '71'], temporal relation: =
event: ['2', '74'], temporal relation: =
event: ['2', '8'], temporal relation: =
event: ['2', '80'], temporal relation: =
event: ['2', '83'], temporal relation: =
event: ['2', '85'], temporal relation: =
event: ['2', '89'], temporal relation: =
event: ['2', '92'], temporal relation: =
event: ['2', '95'], temporal relation: =
event: ['2', '98'], temporal relation: =
event: ['20', '23'], temporal relation: =
event: ['20', '26'], temporal relation: =
event: ['20', '29'], temporal relation: =
event: ['20', '31'], temporal relation: =
event: ['20', '35'], temporal relation: =
event: ['20', '38'], temporal relation: =
event: ['20', '42'], temporal relation: =
event: ['20', '44'], temporal relation: =
event: ['20', '47'], temporal relation: =
event: ['20', '5'], temporal relation: =
event: ['20', '50'], temporal relation: =
event: ['20', '53'], temporal relation: =
event: ['20', '56'], temporal relation: =
event: ['20', '62'], temporal relation: =
event: ['20', '65'], temporal relation: =
event: ['20', '69'], temporal relation: =
event: ['20', '71'], temporal relation: =
event: ['20', '74'], temporal relation: =
event: ['20', '8'], temporal relation: =
event: ['20', '80'], temporal relation: =
event: ['20', '83'], temporal relation: =
event: ['20', '85'], temporal relation: =
event: ['20', '89'], temporal relation: =
event: ['20', '92'], temporal relation: =
event: ['20', '95'], temporal relation: =
event: ['20', '98'], temporal relation: =
event: ['23', '26'], temporal relation: =
event: ['23', '29'], temporal relation: =
event: ['23', '31'], temporal relation: =
event: ['23', '35'], temporal relation: =
event: ['23', '38'], temporal relation: =
event: ['23', '42'], temporal relation: =
event: ['23', '44'], temporal relation: =
event: ['23', '47'], temporal relation: =
event: ['23', '53'], temporal relation: =
event: ['23', '56'], temporal relation: =
event: ['23', '62'], temporal relation: =
event: ['23', '65'], temporal relation: =
event: ['23', '71'], temporal relation: =
event: ['23', '74'], temporal relation: =
event: ['23', '8'], temporal relation: =
event: ['23', '80'], temporal relation: =
event: ['23', '83'], temporal relation: =
event: ['23', '85'], temporal relation: =
event: ['23', '89'], temporal relation: =
event: ['23', '92'], temporal relation: =
event: ['23', '98'], temporal relation: =
event: ['26', '29'], temporal relation: =
event: ['26', '31'], temporal relation: =
event: ['26', '35'], temporal relation: =
event: ['26', '38'], temporal relation: =
event: ['26', '42'], temporal relation: =
event: ['26', '44'], temporal relation: =
event: ['26', '47'], temporal relation: =
event: ['26', '5'], temporal relation: =
event: ['26', '50'], temporal relation: =
event: ['26', '53'], temporal relation: =
event: ['26', '56'], temporal relation: =
event: ['26', '62'], temporal relation: =
event: ['26', '65'], temporal relation: =
event: ['26', '69'], temporal relation: =
event: ['26', '71'], temporal relation: =
event: ['26', '74'], temporal relation: =
event: ['26', '8'], temporal relation: =
event: ['26', '80'], temporal relation: =
event: ['26', '83'], temporal relation: =
event: ['26', '85'], temporal relation: =
event: ['26', '89'], temporal relation: =
event: ['26', '92'], temporal relation: =
event: ['26', '95'], temporal relation: =
event: ['26', '98'], temporal relation: =
event: ['29', '31'], temporal relation: =
event: ['29', '35'], temporal relation: =
event: ['29', '38'], temporal relation: =
event: ['29', '42'], temporal relation: =
event: ['29', '44'], temporal relation: =
event: ['29', '47'], temporal relation: =
event: ['29', '5'], temporal relation: =
event: ['29', '50'], temporal relation: =
event: ['29', '53'], temporal relation: =
event: ['29', '56'], temporal relation: =
event: ['29', '62'], temporal relation: =
event: ['29', '65'], temporal relation: =
event: ['29', '69'], temporal relation: =
event: ['29', '71'], temporal relation: =
event: ['29', '74'], temporal relation: =
event: ['29', '8'], temporal relation: =
event: ['29', '80'], temporal relation: =
event: ['29', '83'], temporal relation: =
event: ['29', '85'], temporal relation: =
event: ['29', '89'], temporal relation: =
event: ['29', '92'], temporal relation: =
event: ['29', '95'], temporal relation: =
event: ['29', '98'], temporal relation: =
event: ['31', '35'], temporal relation: =
event: ['31', '38'], temporal relation: =
event: ['31', '42'], temporal relation: =
event: ['31', '44'], temporal relation: =
event: ['31', '47'], temporal relation: =
event: ['31', '5'], temporal relation: =
event: ['31', '50'], temporal relation: =
event: ['31', '53'], temporal relation: =
event: ['31', '56'], temporal relation: =
event: ['31', '62'], temporal relation: =
event: ['31', '65'], temporal relation: =
event: ['31', '69'], temporal relation: =
